id,instance_id,user_id,status,waitlist,created_at,updated_at,sync_completed_on,async_completed_on,waitlisted_on,enrolled_on,canceled_on,absent_on,async_active_on
4538,239,1350,enroll,,2023-04-15 23:42:45.246977,2023-04-15 23:42:45.246977,,,,,,,
4539,242,1224,attend,,2023-04-16 03:25:14.086925,2023-09-20 14:31:41.568153,2023-04-21 22:14:55.013825,,,,,,
4540,186,523,absent,,2023-04-16 06:39:13.189939,2023-04-19 16:10:31.912441,,,,,,,
4541,240,909,enroll,,2023-04-16 16:26:43.985721,2023-04-16 16:26:43.985721,,,,,,,
4542,239,1296,cancel,,2023-04-16 16:29:27.185504,2023-04-18 17:15:57.884930,,,,,,,
4543,240,1296,cancel,,2023-04-16 16:31:55.730925,2023-04-19 17:42:45.940797,,,,,,,
4544,100,1351,active,,2023-04-16 17:23:06.441037,2023-04-16 17:23:09.486142,,,,,,,
4545,190,1352,active,,2023-04-16 19:16:49.593545,2023-04-16 19:16:51.546720,,,,,,,
4546,239,1353,enroll,,2023-04-16 20:24:13.739096,2023-04-16 20:24:13.739096,,,,,,,
4547,242,1262,enroll,,2023-04-16 22:49:33.980757,2023-04-16 22:49:33.980757,,,,,,,
4548,197,1,cancel,,2023-04-17 13:25:31.941744,2023-04-17 13:26:13.515382,,,,,,,
4549,197,1,enroll,,2023-04-17 13:26:21.006474,2023-04-17 13:26:21.006474,,,,,,,
4550,243,191,attend,,2023-04-17 13:37:14.610391,2023-09-20 14:31:41.577653,2023-04-21 17:07:53.665343,,,,,,
4551,239,1354,enroll,,2023-04-17 14:24:10.292644,2023-04-17 14:24:10.292644,,,,,,,
4552,240,1355,enroll,,2023-04-17 14:37:47.196956,2023-04-17 14:37:47.196956,,,,,,,
4553,239,1140,enroll,,2023-04-17 15:12:32.928675,2023-04-17 15:12:32.928675,,,,,,,
4554,237,711,cancel,,2023-04-17 16:46:16.256723,2023-04-20 15:13:50.893067,,,,,,,
4555,190,298,active,,2023-04-17 16:57:04.729061,2023-04-17 16:57:09.302883,,,,,,,
4556,163,486,enroll,,2023-04-17 17:11:16.779471,2023-04-17 17:11:16.779471,,,,,,,
4557,190,1357,cancel,,2023-04-17 17:13:00.617073,2023-09-29 19:27:33.331941,,,,,2023-09-29 19:27:33.319474,,
4558,188,1357,active,,2023-04-17 17:13:15.159446,2023-04-17 17:13:16.284096,,,,,,,
4559,192,1357,active,,2023-04-17 17:13:22.287222,2023-04-17 17:13:23.319192,,,,,,,
4560,240,486,cancel,,2023-04-17 17:46:17.864867,2023-04-19 20:03:41.640179,,,,,,,
4561,190,1358,active,,2023-04-17 18:24:59.093162,2023-04-17 18:25:00.501142,,,,,,,
4562,163,35,enroll,,2023-04-17 18:40:32.011142,2023-04-17 18:40:32.011142,,,,,,,
4563,238,1359,enroll,,2023-04-17 20:48:51.143617,2023-04-17 20:48:51.143617,,,,,,,
4564,240,1360,enroll,,2023-04-17 21:46:27.368867,2023-04-17 21:46:27.368867,,,,,,,
4565,240,1361,enroll,,2023-04-17 21:47:33.810548,2023-04-17 21:47:33.810548,,,,,,,
4566,240,1362,enroll,,2023-04-17 21:57:16.237771,2023-04-17 21:57:16.237771,,,,,,,
4567,238,1363,enroll,,2023-04-17 23:13:04.962306,2023-04-17 23:13:04.962306,,,,,,,
4569,242,1364,attend,,2023-04-18 01:44:43.151170,2023-09-20 14:31:41.587728,2023-04-21 22:14:55.289789,,,,,,
4570,238,821,cancel,,2023-04-18 03:26:32.020052,2023-04-19 13:20:00.904271,,,,,,,
4571,242,1140,enroll,,2023-04-18 04:10:26.121567,2023-04-18 04:10:26.121567,,,,,,,
4572,240,942,enroll,,2023-04-18 05:27:57.609428,2023-04-18 05:27:57.609428,,,,,,,
4573,239,1365,cancel,,2023-04-18 12:57:06.103910,2023-04-18 12:59:55.210936,,,,,,,
4574,186,1318,attend,,2023-04-18 14:29:34.992824,2023-09-20 14:31:41.597020,2023-04-19 16:10:31.761369,,,,,,
4575,186,2,attend,,2023-04-18 16:52:44.693427,2023-09-20 14:31:41.605614,2023-04-19 16:10:31.775271,,,,,,
4576,240,1367,cancel,,2023-04-18 17:41:10.916308,2023-04-19 20:27:59.956445,,,,,,,
4577,239,1363,enroll,,2023-04-18 18:40:09.271979,2023-04-18 18:40:09.271979,,,,,,,
4578,239,1368,enroll,,2023-04-18 18:42:39.177882,2023-04-18 18:42:39.177882,,,,,,,
4579,243,697,cancel,,2023-04-18 19:16:58.998780,2023-04-20 19:35:10.513062,,,,,,,
4580,211,697,active,,2023-04-18 19:18:46.913590,2023-04-18 19:18:50.727385,,,,,,,
4581,98,6,attend,,2023-04-18 19:52:49.736974,2023-09-20 14:31:41.614889,,2023-09-07 20:25:49.912917,,,,,
4582,239,953,enroll,,2023-04-18 21:06:49.416124,2023-04-18 21:06:49.416124,,,,,,,
4583,194,1370,active,,2023-04-19 14:11:02.969317,2023-04-19 14:11:05.139698,,,,,,,
4584,242,1371,enroll,,2023-04-19 15:09:20.178048,2023-04-19 15:09:20.178048,,,,,,,
4585,240,1372,enroll,,2023-04-19 16:56:01.544243,2023-04-19 16:56:01.544243,,,,,,,
4586,240,997,enroll,,2023-04-19 17:03:03.609866,2023-04-19 17:42:45.975006,,,,,,,
4587,241,1373,attend,,2023-04-19 17:49:36.536783,2023-09-20 14:31:41.627335,2023-04-21 21:41:58.669280,,,,,,
4588,242,1375,enroll,,2023-04-19 19:22:42.241985,2023-04-19 19:22:42.241985,,,,,,,
4589,241,780,cancel,,2023-04-19 21:36:39.283161,2023-04-19 21:36:45.665643,,,,,,,
4590,98,1376,active,,2023-04-20 04:37:01.289031,2023-04-20 04:37:03.053025,,,,,,,
4591,242,1377,enroll,,2023-04-20 14:48:58.423052,2023-04-20 14:48:58.423052,,,,,,,
4592,188,4,cancel,,2023-04-20 15:02:39.346467,2023-07-05 18:32:57.692048,,,,,,,
4593,190,1379,active,,2023-04-20 18:39:55.873898,2023-04-20 18:39:58.769770,,,,,,,
